price,bedroom,bathroom,sq_ft,aircorn,pcode,tsp_en,tsp_mm,floor,overhead_tank,parquet,tiles,price_sqft
495,0,1,625,0,MMR013039,Sanchaung,စမ်းချောင်း,3,False,True,False,79200
495,0,1,972,0,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,0,False,False,True,50925.9259259259
499,1,1,910,1,MMR013016,Pazundaung,ပုဇွန်တောင်,7,False,True,False,54835.1648351648
500,2,1,1026,3,MMR013018,Dagon Myothit (South),ဒဂုံမြို့သစ်တောင်ပိုင်း,1,True,True,True,48732.9434697856
500,2,1,625,1,MMR013040,Hlaing,လှိုင်,2,True,False,False,80000
500,2,1,650,0,MMR013039,Sanchaung,စမ်းချောင်း,3,False,True,True,76923.0769230769
500,0,1,972,0,MMR013012,North Okkalapa,မြောက်ဥက္ကလာပ,4,,,,51440.329218107
500,0,0,675,0,MMR013013,Thaketa,သာကေတ,,,,,74074.0740740741
500,2,1,1026,0,MMR013018,Dagon Myothit (South),ဒဂုံမြို့သစ်တောင်ပိုင်း,4,False,True,True,48732.9434697856
500,0,1,990,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,0,False,False,False,50505.0505050505
500,0,1,625,0,MMR013037,Ahlone,အလုံ,4,False,False,False,80000
500,0,1,625,0,MMR013037,Ahlone,အလုံ,4,False,False,False,80000
500,0,1,625,0,MMR013014,Dawbon,ဒေါပုံ,1,,,,80000
500,2,1,910,0,MMR013035,Lanmadaw,လမ်းမတော်,6,True,False,False,54945.0549450549
500,0,1,976,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,3,False,False,False,51229.5081967213
500,0,1,976,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,3,False,False,True,51229.5081967213
500,0,1,1026,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,3,False,False,True,48732.9434697856
500,0,1,1020,0,MMR013042,Mayangone,မရမ်းကုန်း,4,,,,49019.6078431373
500,0,1,972,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,3,False,False,False,51440.329218107
500,1,1,625,1,MMR013041,Kamaryut,ကမာရွတ်,3,False,True,True,80000
500,2,1,1080,3,MMR013039,Sanchaung,စမ်းချောင်း,7,False,False,True,46296.2962962963
500,2,1,825,1,MMR013037,Ahlone,အလုံ,5,False,True,False,60606.0606060606
500,0,1,1250,0,MMR013037,Ahlone,အလုံ,6,False,False,False,40000
500,0,1,1250,0,MMR013037,Ahlone,အလုံ,6,False,False,False,40000
500,0,1,650,0,MMR013039,Sanchaung,စမ်းချောင်း,1,False,False,False,76923.0769230769
